Date,Open,High,Low,Close,Volume,Adj Close
2013-08-13,393.90,395.66,393.44,394.72,160461700,394.72
2013-08-12,393.57,394.02,391.91,393.07,105369900,393.07
2013-08-09,392.60,394.19,391.88,393.10,101957500,393.10
2013-08-08,390.95,392.84,390.57,391.49,108737400,391.49
2013-08-07,389.64,390.63,388.54,389.46,101737000,389.46
2013-08-06,393.03,393.82,389.93,390.44,101749800,390.44
2013-08-05,392.53,393.36,392.20,393.20,87001100,393.20
2013-08-02,392.70,393.19,391.28,392.40,85991600,392.40
2013-08-01,389.33,392.15,389.33,392.15,94541200,392.15
2013-07-31,387.53,389.39,387.27,387.59,91652400,387.59
2013-07-30,386.32,388.60,386.32,388.06,101908900,388.06
2013-07-29,385.72,387.88,385.03,385.52,000,385.52
2013-07-26,387.90,388.30,384.84,385.70,000,385.70
2013-07-25,386.00,387.16,384.08,387.16,000,387.16
2013-07-24,383.99,387.15,383.83,386.66,000,386.66
2013-07-23,382.62,383.96,382.26,382.75,000,382.75
2013-07-22,383.70,384.61,380.57,381.51,000,381.51
2013-07-19,383.76,383.87,380.84,383.87,000,383.87
2013-07-18,380.72,383.94,380.58,383.48,000,383.48
2013-07-17,382.21,382.88,379.51,381.33,000,381.33
2013-07-16,382.33,382.96,380.82,381.36,000,381.36
2013-07-15,382.06,383.63,381.36,381.82,000,381.82
2013-07-12,380.93,382.13,380.56,380.56,000,380.56
2013-07-11,378.95,380.48,378.64,380.48,000,380.48
2013-07-10,374.65,375.83,372.72,375.59,000,375.59
2013-07-09,372.86,375.18,372.68,375.18,000,375.18
2013-07-08,369.07,372.79,369.07,371.65,000,371.65
2013-07-05,369.86,372.61,366.82,367.53,000,367.53
2013-07-04,364.76,370.21,364.70,369.43,000,369.43
2013-07-03,363.39,363.39,359.88,363.27,000,363.27
2013-07-02,366.25,366.25,362.63,365.19,000,365.19
2013-07-01,363.58,365.75,361.60,365.64,000,365.64
2013-06-28,365.19,366.14,361.47,361.72,000,361.72
2013-06-27,360.71,365.06,359.76,364.67,000,364.67
2013-06-26,356.07,360.66,355.44,359.83,000,359.83
2013-06-25,352.20,356.42,352.19,355.27,000,355.27
2013-06-24,354.69,356.21,349.69,350.05,000,350.05
2013-06-20,365.78,365.78,358.44,358.69,000,358.69
2013-06-19,373.71,373.96,369.24,369.26,000,369.26
2013-06-18,372.66,375.02,371.63,374.25,000,374.25
2013-06-17,370.27,374.48,370.27,373.44,000,373.44
2013-06-14,370.63,371.90,368.79,369.52,000,369.52
2013-06-13,365.72,368.54,363.36,368.44,000,368.44
2013-06-12,370.88,373.68,369.50,369.68,000,369.68
2013-06-11,373.46,373.63,370.18,371.53,000,371.53
2013-06-10,374.09,375.47,373.59,374.24,000,374.24
2013-06-07,371.53,375.80,369.46,374.41,000,374.41
2013-06-05,377.32,378.20,371.91,372.41,000,372.41
2013-06-04,380.76,382.25,378.56,379.03,000,379.03
2013-06-03,379.22,382.82,377.52,379.27,000,379.27
2013-05-31,384.11,384.11,379.75,381.19,000,381.19
2013-05-30,381.85,384.85,381.57,384.14,000,384.14
2013-05-29,387.48,387.48,382.77,383.11,000,383.11
2013-05-28,386.84,389.58,386.84,389.31,000,389.31
2013-05-27,382.72,385.48,382.70,385.48,000,385.48
2013-05-24,384.50,384.99,381.00,381.56,000,381.56
2013-05-23,385.77,386.12,380.83,383.16,000,383.16
2013-05-22,390.61,393.01,389.82,392.30,000,392.30
2013-05-21,388.77,390.55,387.34,390.55,000,390.55
2013-05-20,389.72,390.83,388.40,389.25,000,389.25
2013-05-17,386.77,389.58,386.29,389.45,000,389.45
2013-05-16,385.88,388.26,385.52,386.90,000,386.90
2013-05-15,384.58,385.79,384.57,385.79,000,385.79
2013-05-14,383.89,384.10,382.14,384.09,000,384.09
2013-05-13,384.22,384.94,382.75,383.71,000,383.71
2013-05-10,382.69,385.31,382.69,383.96,000,383.96
2013-05-08,378.70,382.28,378.70,382.28,000,382.28
2013-05-07,378.05,380.13,378.05,378.40,000,378.40
2013-05-06,376.45,377.84,375.83,377.43,000,377.43
2013-05-03,374.69,377.91,373.11,376.64,000,376.64
2013-05-02,373.50,374.52,371.99,373.99,000,373.99
2013-04-30,374.61,376.46,374.61,375.46,000,375.46
2013-04-29,373.14,374.66,371.78,374.34,000,374.34
2013-04-26,371.29,373.52,370.75,373.03,000,373.03
2013-04-25,367.08,373.95,367.08,373.05,000,373.05
2013-04-24,365.03,367.77,363.70,367.77,000,367.77
2013-04-23,358.11,366.29,358.06,366.29,000,366.29
2013-04-22,359.77,361.40,357.50,357.50,000,357.50
2013-04-19,359.37,359.94,356.96,357.90,000,357.90
2013-04-18,359.32,360.67,356.60,358.11,000,358.11
2013-04-17,365.57,365.57,358.33,358.51,000,358.51
2013-04-16,366.06,367.25,363.87,364.57,000,364.57
2013-04-15,370.31,370.76,365.58,367.84,000,367.84
2013-04-12,372.29,372.63,370.16,370.57,000,370.57
2013-04-11,372.13,373.74,371.97,373.36,000,373.36
2013-04-10,367.80,372.74,367.80,372.64,000,372.64
2013-04-09,366.18,368.43,366.18,367.73,000,367.73
2013-04-08,367.06,368.48,364.19,364.90,000,364.90
2013-04-05,370.03,370.75,364.16,365.71,000,365.71
2013-04-04,375.58,375.60,369.53,370.40,000,370.40
2013-04-03,377.21,378.02,375.41,376.04,000,376.04
2013-04-02,375.61,378.03,375.41,377.86,000,377.86
2013-03-28,373.18,375.75,372.82,375.35,000,375.35
2013-03-27,373.88,374.41,370.44,372.87,000,372.87
2013-03-26,373.35,373.97,372.00,372.94,000,372.94
2013-03-25,375.47,376.51,371.98,372.99,000,372.99
2013-03-22,369.45,373.22,368.64,373.13,000,373.13
2013-03-21,373.66,373.90,369.88,370.99,000,370.99
2013-03-20,374.57,375.71,373.73,375.01,000,375.01
2013-03-19,376.75,377.39,372.97,373.08,000,373.08
2013-03-18,374.24,378.09,374.07,377.53,000,377.53
2013-03-15,380.33,380.53,379.12,379.88,000,379.88
2013-03-14,378.98,381.11,378.82,381.11,000,381.11
2013-03-13,377.38,377.66,375.30,377.62,000,377.62
2013-03-12,379.47,380.28,377.14,377.15,000,377.15
2013-03-11,379.54,380.23,378.68,380.18,000,380.18
2013-03-08,378.81,380.62,378.47,379.47,000,379.47
2013-03-07,378.23,378.67,376.96,377.39,000,377.39
2013-03-06,379.36,380.23,377.21,377.24,000,377.24
2013-03-05,376.66,379.41,376.66,379.08,000,379.08
